Keyword Stats 2026-05-18 at 11_43_57
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
best pv panels	INR	5000	0%	0%	Medium	56	3.21	24.56																	
best solar panel company in india	INR	5000	0%	0%	Low	26	3.11	26.92																	
solar panel offer	INR	500	0%	900%	High	96	2.65	25.99																	
solar panel manufacturers near me	INR	500	0%	0%	Low	19	7.73	37.04																	
the best solar system	INR	50	0%	∞	Low	15	4.48	20.73																	
solar panel cleaning system	INR	5000	0%	0%	High	96	0.82	0.97																	
solar panel fitting near me	INR	50	0%	-90%	Medium	44	10.20	40.99																	
solar cleaning company	INR	5000	0%	0%	Low	18	2.20	53.24																	
top solar panels companies	INR	500	0%	0%	Low	13	4.22	34.20																	
best solar energy	INR	5000	0%	0%	Medium	56	3.21	24.56																	
solar panel cleaning canberra	INR	50	0%	0%	Unknown																				
solar panel cleaning fresno	INR	50	0%	0%	Unknown																				
solar pv companies	INR	50	0%	0%	Low	11	12.43	52.58																	
solar panel cleaning melbourne	INR	50	0%	0%	Low	11																			
solar manufacturers	INR	500	0%	0%	Low	6	14.69	55.60																	
solar panel cleaning machine	INR	5000	0%	0%	High	97	0.49	0.72																	
s0lar panels	INR	50	0%	0%	Medium	36	2.19	57.09																	
solar panel cleaner near me	INR	50	0%	0%	Medium	41	0.52	5.23																	
electrical solar panels	INR	500	0%	900%	Medium	40	6.68	41.81																	
commercial solar panel cleaning	INR	50	0%	0%	High	100																			
solar solar panels	INR	500000	0%	0%	High	85	3.08	41.07																	
professional solar panel cleaning	INR	50	0%	0%	High	95																			
pv panel installation	INR	50000	0%	900%	Low	4	11.66	44.45																	
solar cleaning robot	INR	500	0%	0%	Medium	37	1.54	1.83																	
clean my solar panels	INR	50	0%	∞	High	100																			
professional solar panel cleaning equipment	INR	50	-100%	-100%	Unknown																				
commercial solar panel cleaning equipment	INR	50	0%	0%	High	98																			
solar panel maintenance services	INR	500	0%	0%	Low	3	8.54	79.38																	
solar panel manufacturing companies	INR	500	0%	0%	Low	14	7.58	34.77																	
commercial solar panel manufacturers	INR	50	0%	0%	Medium	38	19.14	235.46																	
gutter and solar panel cleaning	INR	50	0%	0%	Unknown																				
solar panel cleaning utah	INR	50	∞	∞	Medium	36																			
solar panel cleaning sydney	INR	50	0%	0%	Medium	43																			
solar panel price jaipur	INR	500	0%	0%	Medium	58	4.97	39.18																	
solar cleaning service near me	INR	50	0%	0%	Low	8	1.57	33.17																	
solar panels work	INR	5000	0%	0%	Low	1	1.54	161.16																	
top solar panel	INR	500	0%	0%	Low	19	9.25	24.56																	
solar power cleaning service	INR	5000	0%	0%	Low	18	1.28	25.09																	
solar system manufacturers	INR	50	0%	0%	Low	23	10.30	48.19																	
solar panel cleaning austin	INR	0	0%	0%	Unknown																				
solar panel cleaning products	INR	500	0%	900%	High	90	1.81	2.19																	
best solar power panels	INR	5000	0%	0%	Medium	56	3.21	24.56																	
pv modules	INR	5000	0%	0%	Low	4	4.27	89.25																	
solar panel cleaning supplies	INR	500	0%	900%	High	90	1.81	2.19																	
solar energy panel	INR	5000	900%	900%	Low	6	7.15	52.80																	
commercial solar panel cleaning cost	INR	50	-100%	-100%	Unknown																				
solar panel cleaning and maintenance	INR	50	0%	0%	Low	1																			
best solar panel cleaning equipment	INR	50	0%	-90%	High	99	0.81	1.85																	
solar cleaning services near me	INR	500	0%	0%	Low	15	3.73	93.24																	
cleaning solar panels diy	INR	50	-100%	0%	Unknown																				
solar panel making machine	INR	500	0%	0%	Low	27	25.85	36.20																	
industrial solar panel price	INR	500	0%	-90%	Medium	65	10.24	39.67																	
solar panel cleaning robot price	INR	50	0%	0%	Medium	54	0.77	9.16																	
solar panel companies in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
self cleaning solar panels	INR	500	0%	0%	Medium	47	1.55	11.96																	
solar panels for	INR	50	0%	0%	Low	29	2.20	16.73																	
solar power manufacturers	INR	50	0%	0%	Low	5																			
solar power cleaning	INR	5000	0%	0%	High	90	0.63	0.86																	
panel solar installation	INR	50000	0%	900%	Low	4	11.66	44.45																	
solar panel cleaning tucson	INR	0	0%	0%	Unknown																				
solar cleaning cost	INR	50	0%	0%	Low	12																			
top 10 solar panel	INR	500	0%	0%	Low	5	6.03	29.31																	
residential solar panel cleaning service	INR	50	0%	0%	Low	7																			
solar panel cleaning services melbourne	INR	50	0%	0%	Low	29																			
solar pv suppliers near me	INR	50	0%	0%	Unknown																				
solar panels india	INR	5000	0%	0%	Low	24	4.51	32.58																	
solar panel cleaning geelong	INR	50	0%	∞	Low	0																			
solar energy equipment supplier	INR	500	0%	-90%	Low	11	7.59	41.22																	
solar panel manufacturing machine	INR	500	0%	0%	Low	7	26.36	37.77																	
best solar panel cleaning brush	INR	50	0%	0%	High	100	1.76	4.18																	
maintaining solar panels	INR	50	0%	0%	Low	17																			
pv panel price	INR	500000	900%	0%	High	96	0.71	24.10																	
solar panel system maintenance	INR	50	0%	0%	Low	0																			
pv panel cleaning	INR	5000	0%	0%	High	90	0.63	0.86																	
automatic solar panel cleaning system	INR	5000	0%	0%	High	92	0.59	1.37																	
solar panel cleaning license	INR	50	∞	0%	Low	0																			
solar pv maintenance	INR	50	0%	0%	Low	1																			
solar panel equipment suppliers	INR	50	0%	0%	Medium	45	6.00	36.56																	
solar panel power generation	INR	500	900%	900%	Low	5	3.59	52.54																	
solar panel brush cleaner	INR	500	0%	0%	High	99	1.78	2.18																	
solar panel manufacturing equipment	INR	500	0%	0%	Low	7	26.36	37.77																	
solar panel cleaning service price	INR	50	0%	0%	Low	10																			
solar panels in	INR	50	0%	0%	Low	14	6.67	92.80																	
solar panel wholesalers near me	INR	50	0%	0%	High	71	5.24	43.27																	
solar installation service	INR	500	0%	0%	Low	9	12.09	52.04																	
solar system maintenance cost	INR	50	0%	0%	Low	1																			
solar panel manufacturing plant	INR	500	0%	0%	Low	8	25.30	77.29																	
solar panel cleaning service san diego	INR	50	0%	0%	Unknown																				
solar panel products	INR	500	0%	900%	Medium	37	1.64	22.17																	
solar panels rated	INR	500	0%	0%	Low	2																			
top best solar panels	INR	50	0%	0%	Low	19	1.19	41.83																	
solar panels solutions	INR	50	0%	0%	Low	10	7.92	29.93																	
solar roof cleaning	INR	50	0%	0%	High	98	1.48	3.77																	
solar panel cleaning central coast	INR	50	0%	0%	Unknown																				
industrial solar installation	INR	50	0%	0%	Low	21	27.03	144.32																	
cleaning solar panels with vinegar	INR	50	0%	0%	Low	0																			
solar panel service provider	INR	50	0%	0%	Low	19	7.00	34.16																	
solar panel cleaning drone	INR	500	0%	0%	Low	4																			
solar panel cleaning newcastle	INR	0	0%	0%	Unknown																				
solar system cleaning	INR	5000	0%	0%	High	98	1.11	1.29																	
best solar panel cleaner	INR	50	0%	0%	Medium	62	0.94	2.07																	
by solar panels	INR	50	0%	0%	High	85																			
solar panel cleaning price list	INR	50	0%	0%	Low	20																			
solar system services	INR	50	0%	0%	Low	17	23.50	94.21																	
pv panel suppliers	INR	5000	0%	0%	Low	10	10.71	50.02																	
solar on panels	INR	50	∞	0%	Low	6																			
solar panel cleaning cost per panel	INR	50	0%	0%	Low	33																			
solar panels technology	INR	500	0%	0%	Low	6	7.92	95.97																	
solar panel module	INR	500	0%	0%	Medium	35	0.79	26.57																	
washing solar panels cost	INR	50	0%	-100%	Unknown																				
clean solar energy	INR	50	-90%	-90%	Low	0																			
top solar system	INR	50	0%	0%	Low	17	7.08	40.10																	
drone solar panel cleaning	INR	500	0%	0%	Low	4																			
solar energy manufacturers	INR	500	0%	0%	Low	6	14.51	74.86																	
buy photovoltaic panels	INR	500	900%	0%	High	89	1.87	29.10																	
solar panel washing equipment	INR	500	0%	0%	High	100	0.80	2.48																	
cost of solar panel cleaning	INR	50	-100%	-100%	Unknown																				
make solar panels	INR	500	0%	0%	Low	3	26.00	220.77																	
top solar panel manufacturers in india	INR	5000	0%	0%	Low	12	2.92	26.14																	
solar panel inverter maintenance	INR	50	0%	0%	Low	0																			
solar panel cleaning rotating brush	INR	50	0%	0%	High	99																			
solar panels which	INR	50	0%	0%	Low	0																			
solar panel cleaning franchise	INR	50	0%	∞	Low	2																			
solar panels for manufacturing plants	INR	50	0%	0%	Low	30	24.53	141.86																	
solar manufacturing company	INR	500	0%	900%	Low	12	10.03	42.01																	
power wash solar panels	INR	50	-100%	-100%	Unknown																				
solar system panels information	INR	50	0%	0%	Low	22																			
drone cleaning solar panels	INR	500	0%	0%	Low	4																			
pressure wash solar panels	INR	50	0%	0%	High	95	1.26	2.25																	
equipment to clean solar panels	INR	50	0%	0%	High	100																			
cleaning your solar panels	INR	50	0%	0%	High	79																			
the solar panel	INR	50	0%	0%	Low	2																			
solar panel cleaning los angeles	INR	50	-100%	0%	Unknown																				
solar power solar panels	INR	50	0%	0%	Low	0																			
benefits of cleaning solar panels	INR	50	0%	0%	Low	0																			
solar cleaning system	INR	5000	0%	0%	High	98	1.11	1.29																	
solar power maintenance	INR	500	0%	900%	Low	3	4.56	254.58																	
solar panel cleaning certification	INR	50	0%	∞	Low	14																			
solar maintenance cost	INR	500	0%	0%	Low	1	0.59	87.16																	
solar manufacturers in india	INR	500	0%	0%	Low	10	9.79	39.23																	
solar panel cleaning training	INR	50	0%	0%	Low	1																			
solar panels recommendations	INR	50	0%	0%	High	75																			
photovoltaic panel installation	INR	50000	0%	900%	Low	4	11.66	44.45																	
solar sheet	INR	500	900%	900%	High	87	1.20	26.28																	
solar machine	INR	500	0%	0%	High	91	25.85	35.94																	
solar equipment manufacturers	INR	500	0%	0%	Low	33	18.96	90.85																	
solar system service provider	INR	50	0%	0%	High	84	6.07	43.91																	
solar panel machine	INR	50	0%	900%	Low	21	25.71	38.35																	
industrial solar power plant	INR	50	0%	-90%	Low	22	17.63	82.58																	
best way to clean solar panels on the roof	INR	50	∞	0%	Low	0																			
solar module prices	INR	500000	900%	0%	High	96	0.71	24.10																	
solar panel stockist near me	INR	50	0%	0%	Medium	61	1.72	40.81																	
solar panel solar	INR	500000	0%	0%	High	85	3.08	41.07																	
solar systems companies	INR	500	0%	0%	Low	29	9.33	48.04																	
best solar panels in india with price	INR	500	0%	0%	High	90	1.24	21.22																	
best way to wash solar panels	INR	50	0%	0%	Low	27																			
pv panel manufacturers	INR	5000	0%	0%	Low	10	10.71	50.02																	
solarcleano price	INR	50	-100%	-100%	Unknown																				
top solar manufacturers	INR	50	0%	0%	Low	0																			
solar panels purpose	INR	50	0%	0%	Low	0																			
solar system best	INR	50	0%	0%	Low	27	8.73	32.43																	
solar panel cleaning contract	INR	50	0%	0%	Low	0																			
solar system manufacturers in india	INR	500	-90%	-90%	Low	28	7.59	34.17																	
solar cleaning business	INR	50	0%	0%	Low	1																			
solar panel panels	INR	500000	0%	0%	High	85	3.08	41.07																	
solar panel manufacturing company in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
solar power system suppliers	INR	50	0%	0%	Medium	38	14.72	64.90																	
top 10 solar panel manufacturers	INR	50	0%	0%	Low	0																			
solar module manufacturers	INR	5000	0%	0%	Low	10	10.71	50.02																	
automatic solar panel cleaner	INR	500	0%	0%	High	91	0.66	2.03																	
solar pv manufacturers	INR	500	900%	900%	Low	1																			
solar cleaning kit	INR	500	0%	0%	High	96	0.63	0.75																	
solar energy solar panels	INR	5000	900%	900%	Low	6	7.15	52.80																	
solar maintenance solutions	INR	50	0%	0%	Low	0																			
automated solar panel cleaning	INR	500	0%	0%	High	91	0.66	2.03																	
solar cleaning robot price	INR	50	0%	0%	Low	19	1.40	71.86																	
solar panel cleaning phoenix	INR	50	0%	∞	Low	0																			
tools to clean solar panels	INR	50	0%	0%	High	100																			
panel cleaning	INR	500	0%	0%	Medium	62																			
solar panel charges	INR	500	0%	0%	High	89	1.45	42.23																	
pv panel system	INR	50	0%	0%	Low	4																			
nano coating for solar panels	INR	50	0%	0%	Medium	39																			
photovoltaic manufacturers	INR	50	-90%	-90%	Low	2																			
solar cleaning tools	INR	50	900%	900%	High	100	0.56	0.67																	
about solar panel system	INR	50	0%	0%	Low	10	1.40	121.88																	
monocrystalline solar panel manufacturers	INR	50	0%	0%	Low	23																			
residential solar panel cleaning	INR	50	0%	0%	High	88																			
solar pv cleaning	INR	50	0%	0%	Low	0																			
solar panel washing machine	INR	5000	0%	0%	High	95	0.86	1.04																	
easiest way to clean solar panels	INR	50	0%	0%	High	100																			
solar panels equipment	INR	50	900%	900%	Medium	52	3.51	57.13																	
best solar panel suppliers	INR	50	0%	0%	Low	12	5.31	58.41																	
pv cleaning	INR	50	0%	0%	Low	0																			
the best way to clean solar panels	INR	50	∞	∞	High	100																			
solar panel cleaning ballarat	INR	50	0%	∞	Low	0																			
solar power solar	INR	50000	0%	0%	Low	20	9.12	51.09																	
solar cleaning solutions	INR	500	0%	0%	High	92	1.00	1.17																	
solar panel cleaning liquid	INR	500	0%	0%	High	100	0.83	1.86																	
solar power panel price	INR	500000	900%	0%	High	96	0.71	24.10																	
rotating brush for cleaning solar panels	INR	50	0%	0%	High	100																			
solar panels on	INR	50	0%	0%	Low	1																			
solar panel coating	INR	50	0%	0%	Low	15																			
solar panel solar panel	INR	500	0%	0%	High	96	11.61	60.73																	
solar cleaning machine	INR	500	900%	900%	High	97	0.66	0.89																	
solar panel cleaning chemicals	INR	500	0%	0%	High	88	0.58	0.67																	
power panel solar	INR	500	900%	900%	Low	17	5.68	39.97																	
solar panel cleaning broom	INR	50	0%	0%	High	100																			
best panels	INR	500	900%	900%	Low	3	2.14	13.33																	
solar best panels	INR	50	0%	0%	Medium	64	1.74	24.34																	
pv manufacturers	INR	50	-90%	-90%	Low	2																			
photovoltaic panel manufacturers	INR	5000	0%	0%	Low	10	10.71	50.02																	
best brush to clean solar panels	INR	50	0%	0%	High	100																			
pv maintenance	INR	50	0%	0%	Low	1																			
solar panel cleaning fluid	INR	50	0%	0%	High	78																			
solar panels and	INR	500000	0%	0%	High	85	3.08	41.07																	
solar panel suppliers in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
best brush for cleaning solar panels	INR	50	0%	0%	High	100																			
best way to clean solar panels on roof	INR	50	0%	0%	High	99	1.49	2.25																	
solar panel manufacturers in bangalore	INR	500	0%	0%	Low	15	9.71	33.12																	
solar panels for walls	INR	50	0%	0%	Medium	46	1.14	26.17																	
pv solar panel installation	INR	50	0%	0%	Low	4																			
india best solar panel company	INR	500	0%	0%	Low	19	2.80	19.70																	
best solution to clean solar panels	INR	50	0%	0%	High	100																			
solar system in india	INR	500	0%	0%	Low	12	2.78	17.77																	
a solar panel	INR	50	-90%	0%	Low	18																			
solar panel cleaning hervey bay	INR	0	0%	0%	Unknown																				
solar panel washing system	INR	500	0%	0%	High	96	0.66	0.73																	
solar panels rate	INR	500000	900%	0%	High	96	0.71	24.10																	
best thing to clean solar panels	INR	50	0%	0%	High	100																			
best product to clean solar panels	INR	50	0%	0%	High	100																			
solar pv service	INR	50	-100%	-100%	Unknown																				
solar installation and maintenance	INR	50	0%	0%	Low	0																			
diy solar panel cleaning	INR	50	0%	0%	High	87																			
solar farm panel cleaning	INR	50	∞	0%	Low	0																			
solar washing	INR	500	0%	0%	High	93	0.55	3.58																	
solar farm cleaning cost	INR	50	-100%	-100%	Unknown																				
solar panel what is it	INR	500	0%	0%	Low	0																			
pv cleaning robot	INR	50	0%	0%	Low	6																			
solar panel use	INR	500	0%	0%	Low	31	0.50	19.58																	
solar panel installation in mumbai	INR	500	0%	0%	Low	21	16.92	54.72																	
with solar panels	INR	50	0%	0%	Low	18																			
solar panel machine price	INR	50	0%	0%	Low	27	25.58	38.35																	
solar panel cleaning mop	INR	500	0%	0%	High	100	0.74	0.84																	
best way to clean a solar panel	INR	50	∞	∞	High	100																			
solar panel cleaning machine price	INR	50	0%	0%	High	97	1.55	1.89																	
solar panel cleaning orange county	INR	50	0%	0%	Unknown																				
cleaning rooftop solar panels	INR	50	0%	0%	Medium	66																			
solar panel scrubber	INR	50	0%	0%	High	100																			
best solar pv	INR	50	0%	0%	Low	2																			
robotic solar panel cleaning system	INR	50	0%	900%	Medium	37	1.01	13.93																	
best solar modules	INR	5000	0%	0%	Medium	56	3.21	24.56																	
solar panel manufacturing machine price	INR	500	0%	0%	Low	27	25.85	36.20																	
solar plate system	INR	50	0%	0%	High	94	1.94	21.53																	
solar module manufacturers in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
best way to clean your solar panels	INR	50	0%	∞	High	100																			
solar products suppliers	INR	50	0%	0%	Low	3																			
solar panel manufacturers in mumbai	INR	500	0%	0%	Low	23	7.63	47.23																	
best solar panel cleaning solution	INR	50	0%	0%	High	100																			
solar panel cleaning system for home	INR	500	0%	0%	High	93	1.56	1.97																	
solar panel cleaning equipment manufacturers	INR	50	0%	0%	High	91																			
keeping solar panels clean	INR	50	0%	0%	Unknown																				
ground mounted solar power plant	INR	500	0%	0%	Low	3	13.86	50.36																	
solarcleano robot	INR	50	0%	0%	Low	6																			
industrial solar panel cleaning equipment	INR	50	0%	0%	High	67																			
solar power plant manufacturers	INR	500	0%	0%	Low	15	17.94	84.25																	
india solar panel manufacturing	INR	5000	0%	-90%	Low	14	5.98	32.49																	
solar coating	INR	50	0%	0%	Low	6																			
top pv module manufacturers	INR	50	0%	0%	Low	2																			
solar cell cleaning	INR	50	0%	0%	High	90																			
benefits of solar panel cleaning	INR	50	0%	0%	Low	0																			
solar panel cleaning equipment price	INR	50	0%	0%	High	100																			
sunlight panels	INR	500	0%	0%	Low	9	16.73	112.61																	
solar panel best company in india	INR	500	0%	900%	Low	23	3.08	25.47																	
solar power plant manufacturers in india	INR	500	0%	0%	Low	17	11.48	45.52																	
solar panel cleaning ireland	INR	50	0%	0%	Unknown																				
solar power module	INR	50	0%	0%	Medium	51																			
cleaning solar panels from the ground	INR	50	0%	-100%	Unknown																				
solar panel cleaning wiper	INR	500	0%	0%	High	100	1.29	1.49																	
best time to clean solar panels	INR	50	0%	0%	Low	6																			
solar panel making company in india	INR	500	900%	900%	Low	7	2.97	31.14																	
deionized water for cleaning solar panels	INR	50	0%	∞	Low	30																			
solar photovoltaic module	INR	5000	0%	0%	Low	14	8.36	33.59																	
cleaning robot for solar panel	INR	50	0%	0%	Medium	40																			
solar panel factories	INR	500	0%	0%	Low	11	10.74	45.07																	
solar pv module manufacturers in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
solar farm cleaning equipment	INR	50	0%	0%	Low	0																			
the price of a solar panel	INR	50	0%	0%	High	68																			
suntech solar panel cleaning	INR	50	0%	0%	Low	14																			
solar panel w	INR	50	0%	0%	Medium	52																			
cleaning photovoltaic panels	INR	5000	0%	0%	High	90	0.63	0.86																	
easy way to clean solar panels	INR	50	0%	0%	High	100																			
solar system solar panels	INR	5000	0%	0%	Medium	53	4.33	39.44																	
robot to clean solar panels	INR	50	0%	0%	Medium	40																			
solar panel robot	INR	50	0%	0%	Low	15																			
robot for cleaning solar panels	INR	50	0%	0%	High	87	1.45	2.92																	
best time to wash solar panels	INR	50	0%	0%	Low	1																			
solar panel making company	INR	500	0%	0%	Low	14	7.58	34.77																	
dust on solar panels	INR	500	0%	900%	Low	1																			
panel solar energy	INR	5000	900%	900%	Low	6	7.15	52.80																	
solar plate manufacturing	INR	500	0%	0%	Low	6	14.51	74.86																	
solar module cleaning	INR	5000	0%	0%	High	90	0.63	0.86																	
top solar module manufacturers	INR	50	0%	0%	Low	2																			
water requirements for solar panel cleaning	INR	50	0%	0%	Low	0																			
solar panel cleaning benefits	INR	50	0%	0%	Low	0																			
automated solar panel cleaning system	INR	5000	0%	0%	High	92	0.59	1.37																	
solar panel cleaning detergent	INR	50	0%	0%	High	67																			
solar panel cleaning kit amazon	INR	50	0%	0%	High	100	1.78	2.19																	
solar panel manufacturers in gujarat	INR	500	0%	-90%	Low	8	9.58	32.61																	
ano ang solar panel	INR	0	0%	0%	Unknown																				
anti dust coating for solar panels	INR	50	0%	0%	High	94	1.38	2.17																	
auto cleaning solar panel	INR	500	0%	0%	High	91	0.66	2.03																	
automatic solar	INR	500	0%	900%	Low	16																			
automatic solar cleaning system	INR	500	0%	0%	High	93	0.91	1.10																	
automatic solar panel	INR	5000	0%	0%	Low	19	0.91	1.72																	
automatic solar panel cleaning robot	INR	50	900%	900%	Medium	57																			
